sub0,sub1,sub2,sub3,sub4,sub5,sub6,sub7,Indicator,Source,Time,Value,Unit,Details
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1960,4.20,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1961,4.43,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1962,4.69,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1963,4.93,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1964,5.38,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1965,6.20,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1966,6.79,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1967,7.56,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1968,8.62,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1969,9.74,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1970,10.98,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1971,13.73,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1972,17.15,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1973,27.08,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1974,46.21,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1975,51.78,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1976,68.06,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1977,80.60,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1978,77.99,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1979,90.39,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1980,94.36,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1981,100.50,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1982,125.95,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1983,156.37,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1984,162.28,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1985,180.18,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1986,209.09,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,1987,134.01,Billion US$,
